Date,Open,High,Low,Close,Volume
07/29/2024,"501.82","502.77","498.77","500.70","3,096,178"
07/26/2024,"498.36","502.89","497.67","500.33","3,635,984"
07/25/2024,"497.55","503.14","493.92","494.78","5,646,601"
07/24/2024,"504.43","504.70","496.55","497.29","6,157,402"
07/23/2024,"509.66","511.65","508.49","508.94","3,116,045"
07/22/2024,"508.27","510.32","506.44","509.79","4,342,929"
07/19/2024,"507.64","509.20","503.56","504.55","4,039,437"
07/18/2024,"513.25","514.19","505.87","507.94","5,055,850"
07/17/2024,"513.56","515.11","511.56","511.79","4,984,306"
07/16/2024,"517.33","519.40","516.60","519.04","4,164,300"
07/15/2024,"516.58","519.12","514.34","516.11","7,771,524"
07/12/2024,"512.49","518.03","512.17","514.55","5,238,170"
07/11/2024,"516.00","516.79","510.83","511.39","5,546,308"
07/10/2024,"511.98","516.19","511.69","515.81","3,446,923"
07/09/2024,"511.21","512.01","510.54","510.89","3,145,823"
07/08/2024,"510.50","511.21","509.32","510.33","3,143,379"
07/05/2024,"507.13","510.10","506.49","509.84","3,156,922"
07/03/2024,"504.22","507.14","504.22","506.81","2,131,086"
07/02/2024,"499.69","504.61","499.61","504.53","4,210,083"
07/01/2024,"501.49","501.68","498.60","501.28","4,368,526"
06/28/2024,"502.97","505.73","499.01","500.13","5,598,571"
06/27/2024,"503.00","504.48","502.32","503.85","3,619,655"
06/26/2024,"501.47","503.77","500.89","503.07","3,202,700"
06/25/2024,"501.71","502.83","500.32","502.51","6,336,724"
06/24/2024,"502.03","504.44","500.43","500.43","7,022,844"
06/21/2024,"502.10","503.22","500.85","501.78","4,347,838"
06/20/2024,"505.14","505.74","501.19","502.88","4,810,867"
06/18/2024,"503.05","504.36","502.63","504.28","3,431,665"
06/17/2024,"498.48","504.18","497.91","502.94","4,609,539"
06/14/2024,"497.26","499.04","496.29","498.98","5,812,046"
06/13/2024,"499.30","499.45","496.06","498.58","8,808,879"
06/12/2024,"497.93","500.15","496.71","497.64","3,698,787"
06/11/2024,"490.99","493.66","489.11","493.53","4,028,423"
06/10/2024,"490.17","492.69","489.56","492.41","3,465,222"
06/07/2024,"490.55","493.53","489.54","490.80","3,063,587"
06/06/2024,"491.84","492.18","489.64","491.44","21,343,961"
06/05/2024,"487.87","491.55","486.06","491.55","3,026,146"
06/04/2024,"484.00","486.41","482.56","485.74","2,560,269"
06/03/2024,"486.30","486.41","480.40","485.15","4,211,256"
05/31/2024,"481.24","484.91","476.48","484.62","5,333,971"
05/30/2024,"482.12","482.75","479.20","480.44","3,393,589"
